--- Absolute Best Parameters ---
Initial SNR: -0.3538 dB

LMS:
Best SNR: 21.8618 dB
SNR Improvment: 22.2157 dB
Filter Order: 24
Optimal mu: 0.0500

NLMS:
Best SNR: 26.9807 dB
SNR Improvment: 27.3346 dB
Filter Order: 25
Optimal mu: 1.0000

RLS:
Best SNR: 26.9808 dB
SNR Improvment: 27.3346 dB
Filter Order: 6
Optimal lambda: 0.2500

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              16.1512                  1.0000                   
2              15.0296                  0.5500                   
3              18.5687                  0.4000                   
4              18.8651                  0.2500                   
5              19.0184                  0.2000                   
6              19.1298                  0.2000                   
7              19.1500                  0.1500                   
8              19.8701                  0.1500                   
9              19.8934                  0.1000                   
10             20.5051                  0.1000                   
11             20.8855                  0.1000                   
12             21.1344                  0.1000                   
13             20.0752                  0.0500                   
14             20.2861                  0.0500                   
15             20.5162                  0.0500                   
16             20.7791                  0.0500                   
17             21.0246                  0.0500                   
18             21.2160                  0.0500                   
19             21.3564                  0.0500                   
20             21.4650                  0.0500                   
21             21.5611                  0.0500                   
22             21.6590                  0.0500                   
23             21.7620                  0.0500                   
24             21.8618                  0.0500                   
25             21.6711                  0.0500                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              25.9608                  1.0000                   
2              26.8283                  1.0000                   
3              26.9558                  1.0000                   
4              26.9705                  1.0000                   
5              26.9761                  1.0000                   
6              26.9787                  1.0000                   
7              26.9797                  1.0000                   
8              26.9802                  1.0000                   
9              26.9805                  1.0000                   
10             26.9806                  1.0000                   
11             26.9807                  1.0000                   
12             26.9807                  1.0000                   
13             26.9807                  1.0000                   
14             26.9807                  1.0000                   
15             26.9807                  1.0000                   
16             26.9807                  1.0000                   
17             26.9807                  1.0000                   
18             26.9807                  1.0000                   
19             26.9807                  1.0000                   
20             26.9807                  1.0000                   
21             26.9807                  1.0000                   
22             26.9807                  1.0000                   
23             26.9807                  1.0000                   
24             26.9807                  1.0000                   
25             26.9807                  1.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              25.4973                  0.0500                   
2              26.9316                  0.0500                   
3              26.9807                  0.0500                   
4              26.9808                  0.1500                   
5              26.9808                  0.2000                   
6              26.9808                  0.2500                   
7              26.9807                  0.3000                   
8              26.8998                  0.5000                   
9              26.6560                  0.6000                   
10             25.4913                  0.7500                   
11             15.5328                  1.0000                   
12             15.6326                  1.0000                   
13             15.7148                  1.0000                   
14             15.8294                  1.0000                   
15             15.8744                  1.0000                   
16             16.0158                  1.0000                   
17             16.0898                  1.0000                   
18             16.1046                  1.0000                   
19             16.1793                  1.0000                   
20             16.2467                  1.0000                   
21             16.2808                  1.0000                   
22             16.2899                  1.0000                   
23             16.2901                  1.0000                   
24             16.2873                  1.0000                   
25             16.3436                  1.0000                   
