--- Absolute Best Parameters ---
Initial SNR: 23.5160 dB

LMS:
Best SNR: 29.1767 dB
SNR Improvment: 5.6607 dB
Filter Order: 4
Optimal mu: 0.0500

NLMS:
Best SNR: 23.5160 dB
SNR Improvment: 0.0000 dB
Filter Order: 1
Optimal mu: 0.0000

RLS:
Best SNR: 30.8877 dB
SNR Improvment: 7.3717 dB
Filter Order: 4
Optimal lambda: 1.0000

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              28.3655                  0.1000                   
2              28.7469                  0.0500                   
3              29.1441                  0.0500                   
4              29.1767                  0.0500                   
5              28.9531                  0.0500                   
6              28.5675                  0.0500                   
7              28.1006                  0.0500                   
8              27.6072                  0.0500                   
9              27.1175                  0.0500                   
10             26.6453                  0.0500                   
11             26.1959                  0.0500                   
12             25.7707                  0.0500                   
13             25.3695                  0.0500                   
14             24.9913                  0.0500                   
15             24.6348                  0.0500                   
16             24.2985                  0.0500                   
17             23.9809                  0.0500                   
18             23.6803                  0.0500                   
19             23.5160                  0.0000                   
20             23.5160                  0.0000                   
21             23.5160                  0.0000                   
22             23.5160                  0.0000                   
23             23.5160                  0.0000                   
24             23.5160                  0.0000                   
25             23.5160                  0.0000                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              23.5160                  0.0000                   
2              23.5160                  0.0000                   
3              23.5160                  0.0000                   
4              23.5160                  0.0000                   
5              23.5160                  0.0000                   
6              23.5160                  0.0000                   
7              23.5160                  0.0000                   
8              23.5160                  0.0000                   
9              23.5160                  0.0000                   
10             23.5160                  0.0000                   
11             23.5160                  0.0000                   
12             23.5160                  0.0000                   
13             23.5160                  0.0000                   
14             23.5160                  0.0000                   
15             23.5160                  0.0000                   
16             23.5160                  0.0000                   
17             23.5160                  0.0000                   
18             23.5160                  0.0000                   
19             23.5160                  0.0000                   
20             23.5160                  0.0000                   
21             23.5160                  0.0000                   
22             23.5160                  0.0000                   
23             23.5160                  0.0000                   
24             23.5160                  0.0000                   
25             23.5160                  0.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              29.5047                  1.0000                   
2              30.5398                  1.0000                   
3              30.8049                  1.0000                   
4              30.8877                  1.0000                   
5              30.6902                  1.0000                   
6              30.5458                  1.0000                   
7              30.0388                  1.0000                   
8              29.9489                  1.0000                   
9              29.6669                  1.0000                   
10             28.8320                  1.0000                   
11             28.7745                  1.0000                   
12             28.3494                  1.0000                   
13             27.8507                  1.0000                   
14             27.9251                  1.0000                   
15             27.3635                  1.0000                   
16             27.1583                  1.0000                   
17             27.0707                  1.0000                   
18             26.6206                  1.0000                   
19             26.6342                  1.0000                   
20             26.2556                  1.0000                   
21             25.8380                  1.0000                   
22             25.9644                  1.0000                   
23             25.6818                  1.0000                   
24             25.3641                  1.0000                   
25             25.0977                  1.0000                   
